2.392705502030307E+001	5.340000000000000E-001	BK7	5.535117008450404E+000
3.630599999454684E+000	2.432567581400000E+000		3.282817964063027E+000
Infinity	6.300000000000000E-001	BK7	2.983444440310708E+000
5.327952549658665E+000	1.889000000000000E+000		2.412549576487974E+000
-5.677400003329227E+000	6.300000000000000E-001	BK7	1.977483247411305E+000
Infinity	3.874000000000000E+000		1.849919960660234E+000
4.767900010194723E+000	3.140000000000000E-001	SF3	1.061275157993268E+000
-1.587629999907282E+001	2.800000000000000E-002		1.027751723337217E+000
2.124699998468729E+000	7.150000000000000E-001	SF3	9.082313591786067E-001
1.953499999506741E+000	1.130000000000000E-001		6.256712175268762E-001
Infinity	3.180000000000000E-001		6.200000050000000E-001
-1.837699999808328E+000	4.380000000000000E-001	SF8	6.745809972833823E-001
2.374999997625000E+000	6.480000000000000E-001	LAKN7	9.233487967833888E-001
-2.374999997625000E+000	2.700000000000000E-002		1.006589652909875E+000
1.370939999748433E+001	7.170000000000000E-001	LAKN7	1.088591552297130E+000
-1.439900000212097E+000	2.350000000000000E-001	SF3	1.108676614688161E+000
-4.866799991354617E+000	3.700000000000000E-002		1.215164960656102E+000
3.188399998834321E+000	4.110000000000000E-001	LAKN7	1.269164217445714E+000
2.687210000159647E+001	0		1.251621452205392E+000
